anio,tipo_eleccion,seccion_id,seccion_nombre,circuito_id,partido_electoral,votos_positivos,total_electores,total_votos_positivos,pct_votos
2011,presidencial,2,Comuna 02,26,Izquierda,206,17999,11072,1.86
2011,presidencial,2,Comuna 02,26,PJ,5897,53997,11072,53.26
2011,presidencial,2,Comuna 02,26,PS,3572,17999,11072,32.26
2011,presidencial,2,Comuna 02,27,Centroderecha,1063,13250,8585,12.38
2011,presidencial,2,Comuna 02,27,Izquierda,270,13250,8585,3.15
2011,presidencial,2,Comuna 02,27,PJ,4430,39750,8585,51.6
2011,presidencial,2,Comuna 02,27,PS,2822,13250,8585,32.87
2011,presidencial,2,Comuna 02,28,Centroderecha,1506,18687,12633,11.92
2011,presidencial,2,Comuna 02,28,Izquierda,398,18687,12633,3.15
2011,presidencial,2,Comuna 02,28,PJ,6466,56061,12633,51.18
2011,presidencial,2,Comuna 02,28,PS,4263,18687,12633,33.74
2011,presidencial,2,Comuna 02,29,Centroderecha,983,12376,8494,11.57
2011,presidencial,2,Comuna 02,29,Izquierda,251,12376,8494,2.96
2011,presidencial,2,Comuna 02,29,PJ,4324,37128,8494,50.91
2011,presidencial,2,Comuna 02,29,PS,2936,12376,8494,34.57
2011,presidencial,3,Comuna 03,30,Centroderecha,1033,11583,7686,13.44
2011,presidencial,3,Comuna 03,30,Izquierda,268,11583,7686,3.49
2011,presidencial,3,Comuna 03,30,PJ,4437,34749,7686,57.73
2011,presidencial,3,Comuna 03,30,PS,1948,11583,7686,25.34
2011,presidencial,3,Comuna 03,31,Centroderecha,1206,13970,9066,13.3
2011,presidencial,3,Comuna 03,31,Izquierda,304,13970,9066,3.35
2011,presidencial,3,Comuna 03,31,PJ,5107,41910,9066,56.33
2011,presidencial,3,Comuna 03,31,PS,2449,13970,9066,27.01
2011,presidencial,3,Comuna 03,32,Centroderecha,866,12596,8144,10.63
2011,presidencial,3,Comuna 03,32,Izquierda,274,12596,8144,3.36
2011,presidencial,3,Comuna 03,32,PJ,4763,37788,8144,58.48
2011,presidencial,3,Comuna 03,32,PS,2241,12596,8144,27.52
2011,presidencial,3,Comuna 03,33,Centroderecha,793,9810,6497,12.21
2011,presidencial,3,Comuna 03,33,Izquierda,253,9810,6497,3.89
2011,presidencial,3,Comuna 03,33,PJ,3898,29430,6497,60.0
2011,presidencial,3,Comuna 03,33,PS,1553,9810,6497,23.9
2011,presidencial,3,Comuna 03,34,Centroderecha,1197,15606,10407,11.5
2011,presidencial,3,Comuna 03,34,Izquierda,404,15606,10407,3.88
2011,presidencial,3,Comuna 03,34,PJ,5987,46818,10407,57.53
2011,presidencial,3,Comuna 03,34,PS,2819,15606,10407,27.09
2011,presidencial,3,Comuna 03,35,Centroderecha,873,13081,9168,9.52
2011,presidencial,3,Comuna 03,35,Izquierda,361,13081,9168,3.94
2011,presidencial,3,Comuna 03,35,PJ,5700,39243,9168,62.17
2011,presidencial,3,Comuna 03,35,PS,2234,13081,9168,24.37
2011,presidencial,3,Comuna 03,36,Centroderecha,559,8646,6030,9.27
2011,presidencial,3,Comuna 03,36,Izquierda,232,8646,6030,3.85
2011,presidencial,3,Comuna 03,36,PJ,4013,25938,6030,66.55
2011,presidencial,3,Comuna 03,36,PS,1226,8646,6030,20.33
2011,presidencial,3,Comuna 03,37,Centroderecha,818,11088,7609,10.75
2011,presidencial,3,Comuna 03,37,Izquierda,311,11088,7609,4.09
2011,presidencial,3,Comuna 03,37,PJ,4708,33264,7609,61.87
2011,presidencial,3,Comuna 03,37,PS,1772,11088,7609,23.29
2011,presidencial,3,Comuna 03,38,Centroderecha,971,12888,8861,10.96
2011,presidencial,3,Comuna 03,38,Izquierda,354,12888,8861,4.0
2011,presidencial,3,Comuna 03,38,PJ,5434,38664,8861,61.32
2011,presidencial,3,Comuna 03,38,PS,2102,12888,8861,23.72
2011,presidencial,3,Comuna 03,39,Centroderecha,1055,14105,9559,11.04
2011,presidencial,3,Comuna 03,39,Izquierda,408,14105,9559,4.27
2011,presidencial,3,Comuna 03,39,PJ,5655,42315,9559,59.16
2011,presidencial,3,Comuna 03,39,PS,2441,14105,9559,25.54
2011,presidencial,3,Comuna 03,40,Centroderecha,616,8635,6402,9.62
2011,presidencial,3,Comuna 03,40,Izquierda,249,8635,6402,3.89
2011,presidencial,3,Comuna 03,40,PJ,3914,25905,6402,61.14
2011,presidencial,3,Comuna 03,40,PS,1623,8635,6402,25.35
2011,presidencial,3,Comuna 03,41,Centroderecha,1299,17832,12990,10.0
2011,presidencial,3,Comuna 03,41,Izquierda,582,17832,12990,4.48
2011,presidencial,3,Comuna 03,41,PJ,8192,53496,12990,63.06
2011,presidencial,3,Comuna 03,41,PS,2917,17832,12990,22.46
2011,presidencial,3,Comuna 03,42,Centroderecha,1136,16298,11627,9.77
2011,presidencial,3,Comuna 03,42,Izquierda,493,16298,11627,4.24
2011,presidencial,3,Comuna 03,42,PJ,7274,48894,11627,62.56
2011,presidencial,3,Comuna 03,42,PS,2724,16298,11627,23.43
2011,presidencial,4,Comuna 04,43,Centroderecha,932,12634,9411,9.9
2011,presidencial,4,Comuna 04,43,Izquierda,443,12634,9411,4.71
2011,presidencial,4,Comuna 04,43,PJ,5780,37902,9411,61.42
2011,presidencial,4,Comuna 04,43,PS,2256,12634,9411,23.97
2011,presidencial,4,Comuna 04,44,Centroderecha,703,9047,6796,10.34
2011,presidencial,4,Comuna 04,44,Izquierda,297,9047,6796,4.37
2011,presidencial,4,Comuna 04,44,PJ,4165,27141,6796,61.29
2011,presidencial,4,Comuna 04,44,PS,1631,9047,6796,24.0
2011,presidencial,4,Comuna 04,45,Centroderecha,486,6679,5047,9.63
2011,presidencial,4,Comuna 04,45,Izquierda,210,6679,5047,4.16
2011,presidencial,4,Comuna 04,45,PJ,3310,20037,5047,65.58
2011,presidencial,4,Comuna 04,45,PS,1041,6679,5047,20.63
2011,presidencial,4,Comuna 04,46,Centroderecha,427,6260,4663,9.16
2011,presidencial,4,Comuna 04,46,Izquierda,211,6260,4663,4.52
2011,presidencial,4,Comuna 04,46,PJ,3032,18780,4663,65.02
2011,presidencial,4,Comuna 04,46,PS,993,6260,4663,21.3
2011,presidencial,4,Comuna 04,47,Centroderecha,405,10926,8222,4.93
2011,presidencial,4,Comuna 04,47,Izquierda,222,10926,8222,2.7
2011,presidencial,4,Comuna 04,47,PJ,6954,32778,8222,84.58
2011,presidencial,4,Comuna 04,47,PS,641,10926,8222,7.8
