id,nomoficial,nombre_norm,barrio,barrio_par,barrio_imp,comuna,tipo_c,long,geometry,wikidata_id,figura_nombre,partido_madre,partido_raw,tipo_figura,fuente_match,calle_wikidata_id,calle_wikidata_label
1563,VALDENEGRO,VALDENEGRO,Saavedra,Saavedra,Saavedra,12.0,CALLE,74.35302203195232,"LINESTRING (-58.49479877269741 -34.55625491222776, -58.49520006190049 -34.55567268211612)",Q5852322,Eusebio Valdenegro,,,politico,wikidata_p138,Q5740771,Valdenegro
1574,VALDENEGRO,VALDENEGRO,Saavedra,Saavedra,Saavedra,12.0,CALLE,34.20294911124448,"LINESTRING (-58.49425464110126 -34.556365898984254, -58.494439236259026 -34.55609806806557)",Q5852322,Eusebio Valdenegro,,,politico,wikidata_p138,Q5740771,Valdenegro
1642,VALDENEGRO,VALDENEGRO,Saavedra,Saavedra,Saavedra,12.0,CALLE,72.11652692000676,"LINESTRING (-58.4938655078686 -34.55693065769872, -58.49425464110126 -34.556365898984254)",Q5852322,Eusebio Valdenegro,,,politico,wikidata_p138,Q5740771,Valdenegro
1694,VALDENEGRO,VALDENEGRO,Saavedra,Saavedra,Saavedra,12.0,CALLE,72.17009895891623,"LINESTRING (-58.49348032546254 -34.55749782243722, -58.4938655078686 -34.55693065769872)",Q5852322,Eusebio Valdenegro,,,politico,wikidata_p138,Q5740771,Valdenegro
1752,VALDENEGRO,VALDENEGRO,Saavedra,Saavedra,Saavedra,12.0,CALLE,97.97370058043508,"LINESTRING (-58.49292546004921 -34.557244135930944, -58.49240419152162 -34.558014842015915)",Q5852322,Eusebio Valdenegro,,,politico,wikidata_p138,Q5740771,Valdenegro
1785,VALDENEGRO,VALDENEGRO,Saavedra,Saavedra,Saavedra,12.0,CALLE,45.18626948006313,"LINESTRING (-58.49240419152162 -34.558014842015915, -58.49216384499992 -34.55837032957057)",Q5852322,Eusebio Valdenegro,,,politico,wikidata_p138,Q5740771,Valdenegro
1802,VALDENEGRO,VALDENEGRO,Saavedra,Saavedra,Saavedra,12.0,CALLE,44.929646057829,"LINESTRING (-58.492424787794924 -34.55849407318495, -58.492667433167334 -34.55814231704911)",Q5852322,Eusebio Valdenegro,,,politico,wikidata_p138,Q5740771,Valdenegro
2294,"UGARTE, MANUEL",MANUEL UGARTE,Coghlan,Coghlan,Coghlan,12.0,CALLE,111.6865319321637,"LINESTRING (-58.474016580842566 -34.56260104051871, -58.474418495367715 -34.56284199571877, -58.47499970537555 -34.563194413818145)",Q507453,Manuel Ugarte,,,politico,wikidata_p138,Q64338439,Biblioteca Popular Manuel Ugarte
1917,VALDENEGRO,VALDENEGRO,Saavedra,Saavedra,Saavedra,12.0,PASAJE,72.04480323133092,"LINESTRING (-58.491640345266156 -34.55963132535837, -58.49202942122357 -34.559067278234494)",Q5852322,Eusebio Valdenegro,,,politico,wikidata_p138,Q5740771,Valdenegro
1159,VALDENEGRO,VALDENEGRO,Saavedra,Saavedra,Saavedra,12.0,CALLE,100.5123195237115,"LINESTRING (-58.496488269913215 -34.5529103033104, -58.497037977586686 -34.552126683680264)",Q5852322,Eusebio Valdenegro,,,politico,wikidata_p138,Q5740771,Valdenegro
13920,"VERA PEÑALOZA,  ROSARIO",ROSARIO VERA PENALOZA,Puerto Madero,Puerto Madero,Puerto Madero,1.0,BOULEVARD,8.514040773022247,"LINESTRING (-58.366508159266154 -34.61812310075149, -58.3664157476747 -34.61811580220759)",Q6112424,Rosario Vera Peñaloza,,,politico,wikidata_p138,Q5554905,Rosario Vera Peñaloza
13888,"VERA PEÑALOZA,  ROSARIO",ROSARIO VERA PENALOZA,Puerto Madero,Puerto Madero,Puerto Madero,1.0,BOULEVARD,38.5148146853718,"LINESTRING (-58.36328714237592 -34.617833020860665, -58.363115943888936 -34.617880905415646, -58.362944877522764 -34.618019141643096)",Q6112424,Rosario Vera Peñaloza,,,politico,wikidata_p138,Q5554905,Rosario Vera Peñaloza
13887,"VERA PEÑALOZA,  ROSARIO",ROSARIO VERA PENALOZA,Puerto Madero,Puerto Madero,Puerto Madero,1.0,BOULEVARD,98.9380091444455,"LINESTRING (-58.362944877522764 -34.618019141643096, -58.3621201525698 -34.61795772408356, -58.3619919452811 -34.61797939257086, -58.361874276874026 -34.61799816636734)",Q6112424,Rosario Vera Peñaloza,,,politico,wikidata_p138,Q5554905,Rosario Vera Peñaloza
6906,"NEWBERY, JORGE AV.",JORGE NEWBERY,Chacarita,Chacarita,Chacarita,15.0,AVENIDA,68.98211090866863,"LINESTRING (-58.451806231102154 -34.58967783525914, -58.45214893346944 -34.59000061909122, -58.45231266758277 -34.590137115160864)",Q2632411,Jorge Newbery,,,politico,wikidata_p138,Q6085070,Premios Jorge Newbery
7106,"NEWBERY, JORGE AV.",JORGE NEWBERY,Chacarita,Chacarita,Chacarita,15.0,AVENIDA,129.0191707221093,"LINESTRING (-58.45231266758277 -34.590137115160864, -58.452487130573466 -34.59028255577423, -58.45325181896355 -34.591002351742034)",Q2632411,Jorge Newbery,,,politico,wikidata_p138,Q6085070,Premios Jorge Newbery
7284,"NEWBERY, JORGE AV.",JORGE NEWBERY,Chacarita,Chacarita,Chacarita,15.0,AVENIDA,117.3515611207895,"LINESTRING (-58.45325181896355 -34.591002351742034, -58.45394542257737 -34.59165523486538, -58.454096218539895 -34.5917969388686)",Q2632411,Jorge Newbery,,,politico,wikidata_p138,Q6085070,Premios Jorge Newbery
7429,"NEWBERY, JORGE AV.",JORGE NEWBERY,Chacarita,Chacarita,Chacarita,15.0,AVENIDA,126.6379525226363,"LINESTRING (-58.454096218539895 -34.5917969388686, -58.455005687866525 -34.592655680494865)",Q2632411,Jorge Newbery,,,politico,wikidata_p138,Q6085070,Premios Jorge Newbery
7606,"NEWBERY, JORGE AV.",JORGE NEWBERY,Chacarita,Chacarita,Chacarita,15.0,AVENIDA,125.9127805993583,"LINESTRING (-58.455005687866525 -34.592655680494865, -58.455919520022924 -34.59350251388065)",Q2632411,Jorge Newbery,,,politico,wikidata_p138,Q6085070,Premios Jorge Newbery
7768,"NEWBERY, JORGE AV.",JORGE NEWBERY,Chacarita,Chacarita,Chacarita,15.0,AVENIDA,123.9485855639441,"LINESTRING (-58.455919520022924 -34.59350251388065, -58.45602740665808 -34.59360153608733, -58.456808419581115 -34.594343916357886)",Q2632411,Jorge Newbery,,,politico,wikidata_p138,Q6085070,Premios Jorge Newbery
7919,"NEWBERY, JORGE AV.",JORGE NEWBERY,Chacarita,Chacarita,Chacarita,15.0,AVENIDA,123.5883572250523,"LINESTRING (-58.456808419581115 -34.594343916357886, -58.457564922014114 -34.59506298014971, -58.457693249483896 -34.595183974007526)",Q2632411,Jorge Newbery,,,politico,wikidata_p138,Q6085070,Premios Jorge Newbery
8245,"NEWBERY, JORGE AV.",JORGE NEWBERY,Chacarita,Chacarita,Chacarita,15.0,AVENIDA,220.2742929969067,"LINESTRING (-58.457693249483896 -34.595183974007526, -58.459275957108886 -34.59667715927614)",Q2632411,Jorge Newbery,,,politico,wikidata_p138,Q6085070,Premios Jorge Newbery
30319,"NEWBERY, JORGE",JORGE NEWBERY,Colegiales,Colegiales,Colegiales,13.0,CALLE,72.0333717507881,"LINESTRING (-58.44404250227561 -34.57531697205459, -58.444426853486526 -34.57572512677243, -58.44445852974272 -34.575854465952574)",Q2632411,Jorge Newbery,,,politico,wikidata_p138,Q6085070,Premios Jorge Newbery
