id,nomoficial,nombre_norm,barrio,barrio_par,barrio_imp,comuna,tipo_c,long,geometry,wikidata_id,figura_nombre,partido_madre,tipo_figura
30551,"CHILAVERT, MARTINIANO, CORONEL",MARTINIANO CHILAVERT,Villa Lugano,Villa Lugano,Villa Lugano,8.0,CALLE,114.693773476193,"LINESTRING (-58.4652012004749 -34.67609761339353, -58.465811369967724 -34.677000258694164)",Q6002386,Martiniano Chilavert,Prócer,procer
30592,"ALVAREZ, DONATO, TTE. GRAL.",DONATO ALVAREZ,,Flores,Caballito,,CALLE,18.19720597961056,"LINESTRING (-58.457225117765425 -34.61868950149223, -58.457295235066304 -34.61853605234435)",Q606183,Donato Álvarez,Prócer,procer
30697,"ACOSTA, MARIANO",MARIANO ACOSTA,Flores,Flores,Flores,7.0,CALLE,62.09111585354416,"LINESTRING (-58.461971709202366 -34.65014731716172, -58.46191397811534 -34.65031420833884, -58.4617610126113 -34.65044777022692, -58.461582327636954 -34.6505859338397)",Q3847746,Mariano Acosta,Prócer,procer
30754,"ACOSTA, MARIANO",MARIANO ACOSTA,Villa Soldati,Villa Soldati,Villa Soldati,8.0,CALLE,122.7529999620562,"LINESTRING (-58.45468946524225 -34.65594754021548, -58.4537164555034 -34.656707729593165)",Q3847746,Mariano Acosta,Prócer,procer
30800,"ACOSTA, MARIANO",MARIANO ACOSTA,Villa Soldati,Villa Soldati,Villa Soldati,8.0,CALLE,144.8851133407969,"LINESTRING (-58.45215338430372 -34.657929218294065, -58.45111754853606 -34.65874243945805, -58.45100350562537 -34.65882510454983)",Q3847746,Mariano Acosta,Prócer,procer
30831,"DELLEPIANE, LUIS, TTE. GRAL.",LUIS DELLEPIANE,Villa Lugano,Villa Lugano,Villa Lugano,8.0,AVENIDA,109.1734958537715,"LINESTRING (-58.47164763396013 -34.662222333085026, -58.47183830075725 -34.66266361588179, -58.47202619646731 -34.66315522483875)",Q126856409,Luis Dellepiane,UCR,politico
30842,SAN MARTIN AV.,SAN MARTIN,Agronomia,Agronomia,Agronomia,15.0,AVENIDA,45.85331229931074,"LINESTRING (-58.5026617498978 -34.59466259199778, -58.50287688417444 -34.594566164720874, -58.50295247091161 -34.59454033008626, -58.50302946276027 -34.59455234975603, -58.503123783724014 -34.59454314208804)",Q134160,José de San Martín,Prócer,procer
30843,SAN MARTIN AV.,SAN MARTIN,Villa Devoto,Villa Devoto,Villa Devoto,11.0,AVENIDA,45.4034431399228,"LINESTRING (-58.502956962618114 -34.59474939778188, -58.50311624507067 -34.59470070343674, -58.503284566343176 -34.594643462109445, -58.503414933965544 -34.59459466691878)",Q134160,José de San Martín,Prócer,procer
30844,SAN MARTIN AV.,SAN MARTIN,Villa Devoto,Villa Devoto,Villa Devoto,11.0,AVENIDA,25.64993963197334,"LINESTRING (-58.50270067442017 -34.594841816213815, -58.502956962618114 -34.59474939778188)",Q134160,José de San Martín,Prócer,procer
30845,SAN MARTIN AV.,SAN MARTIN,Villa Devoto,Villa Devoto,Villa Devoto,11.0,AVENIDA,54.18233556215264,"LINESTRING (-58.50179166813166 -34.59510077730455, -58.5020006105616 -34.59510056120926, -58.50234864551536 -34.59497100937927)",Q134160,José de San Martín,Prócer,procer
30846,SAN MARTIN AV.,SAN MARTIN,Agronomia,Agronomia,Agronomia,15.0,SENDERO,40.03660376107365,"LINESTRING (-58.503123783724014 -34.59454314208804, -58.503255854523324 -34.59451419496943, -58.50338572715022 -34.59446753666687, -58.503542492957564 -34.594450061021995)",Q134160,José de San Martín,Prócer,procer
