circuito_geo_id,partido_madre,partido_electoral,metros_lineales,pct_metros,metros_por_km2,area_km2,pct_votos_promedio,pct_votos_jefe_gobierno,pct_votos_legislativa,pct_votos_presidencial,tasa_nbi_circuito,indice_edu_circuito
72,PS,PS,445.87629440351526,100.0,554.6,0.804,10.98,,2.26,19.69,3.32,6.16
73,PS,PS,436.7593736612971,100.0,314.0,1.3908,11.21,,2.23,20.18,4.65,6.56
74,Liberalismo,Liberalismo,404.0283075245323,37.55,520.1,0.7768,20.44,11.34,35.77,9.66,1.62,6.91
74,UCR,Centroderecha,671.9731936137564,62.45,865.1,0.7768,49.85,60.14,50.67,43.87,1.62,6.91
75,Liberalismo,Liberalismo,409.575096738215,26.87,475.0,0.8623,19.39,11.95,32.49,10.01,2.79,6.29
75,PJ,PJ,1114.52923429902,73.13,1292.5,0.8623,33.61,38.55,20.54,44.2,2.79,6.29
76,Liberalismo,Liberalismo,474.4757766694021,58.71,513.7,0.9237,19.33,12.06,32.11,10.18,2.24,6.33
76,PJ,PJ,333.7024110322663,41.29,361.3,0.9237,34.37,38.79,21.35,45.18,2.24,6.33
77,Liberalismo,Liberalismo,59.68268651961792,100.0,50.1,1.1919,19.79,14.41,30.52,11.75,4.47,5.47
78,Liberalismo,Liberalismo,781.1006102217817,48.18,911.2,0.8572,21.53,16.61,32.66,12.86,3.76,5.53
78,UCR,Centroderecha,839.9631226321596,51.82,979.9,0.8572,38.81,44.58,41.93,32.81,3.76,5.53
8,UCR,Centroderecha,846.1274077799786,100.0,1739.2,0.4865,53.8,64.62,53.54,48.65,1.79,7.02
84,PJ,PJ,666.848531989867,77.85,698.7,0.9544,35.72,40.16,21.93,47.29,4.02,5.82
84,UCR,Centroderecha,189.77436373170093,22.15,198.8,0.9544,40.79,48.34,43.38,34.42,4.02,5.82
85,PJ,PJ,210.99910562723986,100.0,384.5,0.5488,31.86,36.02,19.54,42.1,1.69,6.36
86,PJ,PJ,3575.2384751914906,75.85,1020.5,3.5035,46.79,53.27,30.2,60.14,9.2,4.63
86,UCR,Centroderecha,1138.575424435728,24.15,325.0,3.5035,28.49,29.46,33.82,22.68,9.2,4.63
87,PJ,PJ,7631.529417625819,71.27,880.8,8.6647,49.91,55.34,32.88,64.24,9.72,3.92
87,UCR,Centroderecha,3076.1859869137666,28.73,355.0,8.6647,27.81,29.7,33.67,21.01,9.72,3.92
88,UCR,Centroderecha,499.2349078595303,100.0,118.1,4.2262,40.5,46.64,44.36,33.56,4.0,4.91
89,PJ,PJ,802.0607201466812,17.29,177.2,4.5268,43.4,47.86,27.62,56.96,8.93,4.42
89,UCR,Centroderecha,3837.7196421588233,82.71,847.8,4.5268,33.88,37.4,38.81,27.18,8.93,4.42
9,PJ,PJ,1188.9453961593922,100.0,1003.2,1.1851,27.98,28.09,16.04,39.85,6.31,6.3
90,Liberalismo,Liberalismo,673.4538971672391,8.53,141.1,4.7741,21.42,19.25,29.62,14.31,6.54,4.33
90,PJ,PJ,2258.8397766446456,28.6,473.1,4.7741,45.18,49.56,29.79,58.38,6.54,4.33
90,UCR,Centroderecha,4966.612531766502,62.88,1040.3,4.7741,32.73,36.89,37.6,25.78,6.54,4.33
91,PJ,PJ,1485.610143021498,40.55,1330.6,1.1165,50.24,55.44,32.48,65.4,15.24,3.88
91,UCR,Centroderecha,2178.078747103458,59.45,1950.8,1.1165,25.46,27.38,31.18,18.78,15.24,3.88
92,PJ,PJ,1113.838679008795,91.22,899.2,1.2387,37.15,41.69,22.87,49.16,4.41,5.32
92,UCR,Centroderecha,107.20867448432176,8.78,86.5,1.2387,38.67,44.3,42.05,32.48,4.41,5.32
93,PJ,PJ,182.27865245917607,100.0,128.7,1.4166,40.76,45.36,26.32,52.89,5.16,4.9
96,PJ,PJ,913.0505128096108,100.0,543.8,1.6791,40.66,45.76,25.11,53.67,4.36,4.83
97,PJ,PJ,1103.7537934442807,47.3,611.0,1.8065,43.05,47.32,27.92,56.04,3.67,4.63
97,UCR,Centroderecha,1229.8490524437277,52.7,680.8,1.8065,35.04,40.44,39.2,28.17,3.67,4.63
98,UCR,Centroderecha,1413.3075199879668,100.0,599.6,2.357,41.3,48.97,44.62,34.14,3.46,5.25
99,UCR,Centroderecha,806.9937043909416,100.0,820.6,0.9834,43.79,52.72,46.51,36.61,1.64,5.55
