id,nomoficial,nombre_norm,barrio,barrio_par,barrio_imp,comuna,tipo_c,long,geometry,wikidata_id,figura_nombre,partido_madre,tipo_figura,fuente_match
5553,EL SALVADOR,EL SALVADOR,Palermo,Palermo,Palermo,14.0,CALLE,116.4905380982502,"LINESTRING (-58.43451121401514 -34.58410727685938, -58.43540747988756 -34.58336352778758)",,,,,
5554,LADINES,LADINES,Villa Pueyrredon,Villa Pueyrredon,Villa Pueyrredon,12.0,CALLE,74.62344026042123,"LINESTRING (-58.50451158089802 -34.583712932563586, -58.50516256977037 -34.58411616901876)",,,,,
5556,TRONADOR,TRONADOR,Villa Ortuzar,Villa Ortuzar,Villa Ortuzar,15.0,CALLE,28.93160310867389,"LINESTRING (-58.4662850500812 -34.5841346502773, -58.466271842787414 -34.583874082479966)",,,,,
5557,TRIUNVIRATO AV.,TRIUNVIRATO,Villa Ortuzar,Villa Ortuzar,Villa Ortuzar,15.0,AVENIDA,87.78176242470693,"LINESTRING (-58.4662850500812 -34.5841346502773, -58.46717543456009 -34.58384511294353)",,,,,
5558,BONPLAND,BONPLAND,Palermo,Palermo,Palermo,14.0,CALLE,120.1015970498789,"LINESTRING (-58.43824139061324 -34.58413310019643, -58.43734101926707 -34.58334726391259)",,,,,
5559,GORRITI,GORRITI,Palermo,Palermo,Palermo,14.0,CALLE,128.9075272706304,"LINESTRING (-58.43824139061324 -34.58413310019643, -58.438376721910245 -34.584031506345674, -58.43928315136564 -34.58335343629561)",,,,,
5560,FITZ ROY,FITZ ROY,Palermo,Palermo,Palermo,14.0,CALLE,120.5908460829025,"LINESTRING (-58.43631064184809 -34.584153252255945, -58.43540747988756 -34.58336352778758)",,,,,
5561,HONDURAS,HONDURAS,Palermo,Palermo,Palermo,14.0,CALLE,130.1240861812099,"LINESTRING (-58.43631064184809 -34.584153252255945, -58.437161909659906 -34.58348779163082, -58.43734101926707 -34.58334726391259)",,,,,
5562,"CABEZON, JOSE LEON",JOSE LEON CABEZON,Villa Pueyrredon,Villa Pueyrredon,Villa Pueyrredon,12.0,CALLE,77.80003035438185,"LINESTRING (-58.5065026083219 -34.583732596496645, -58.50707268990059 -34.584086273010875, -58.507181119055154 -34.58415320711488)",,,,,
5563,"ALVAREZ, AGUSTIN",AGUSTIN ALVAREZ,Villa Pueyrredon,Villa Pueyrredon,Villa Pueyrredon,12.0,PASAJE,100.9438235524797,"LINESTRING (-58.507181119055154 -34.58415320711488, -58.50783977972488 -34.58342436377108)",,,,,
5564,"CARRANZA, ANGEL JUSTINIANO",ANGEL JUSTINIANO CARRANZA,Palermo,Palermo,Palermo,14.0,CALLE,124.6343149465362,"LINESTRING (-58.44021716645117 -34.58416919474319, -58.43928315136564 -34.58335343629561)",,,,,
5565,"CABRERA, JOSE A.",JOSE A. CABRERA,Palermo,Palermo,Palermo,14.0,CALLE,129.2670074764883,"LINESTRING (-58.44021716645117 -34.58416919474319, -58.441268614977005 -34.583393600309286)",,,,,
5566,AGUERO,AGUERO,Recoleta,Recoleta,Recoleta,2.0,CALLE,125.7979346391707,"LINESTRING (-58.39699535057671 -34.58416421206762, -58.39599837811694 -34.58338576505636)",,,,,
5568,ESTADO PLURINACIONAL DE BOLIVIA,ESTADO PLURINACIONAL DE BOLIVIA,Villa Pueyrredon,Villa Pueyrredon,Villa Pueyrredon,12.0,CALLE,121.4994061920061,"LINESTRING (-58.49878412491129 -34.58418143076039, -58.498899448085666 -34.58405688788052, -58.49958047960134 -34.583306392009035)",,,,,
5569,URIARTE,URIARTE,Palermo,Palermo,Palermo,14.0,CALLE,143.2262948718064,"LINESTRING (-58.42715366900437 -34.58418996898062, -58.42602729724416 -34.583296092836875)",,,,,
5570,GUATEMALA,GUATEMALA,Palermo,Palermo,Palermo,14.0,CALLE,22.57065863394926,"LINESTRING (-58.42715366900437 -34.58418996898062, -58.4273309239307 -34.58404889203432)",,,,,
5572,DE LOS CONSTITUYENTES AV.,DE LOS CONSTITUYENTES,,Villa Pueyrredon,Villa Urquiza,,AVENIDA,43.26904511601615,"LINESTRING (-58.48950506926682 -34.58420511425409, -58.48983178010473 -34.58392384138317)",,,,,
5573,LLERENA,LLERENA,Parque Chas,Parque Chas,Parque Chas,15.0,CALLE,120.8450775737175,"LINESTRING (-58.47298154697394 -34.583337527692734, -58.4737359819912 -34.584230439530856)",,,,,
5574,TORRENT,TORRENT,Parque Chas,Parque Chas,Parque Chas,15.0,CALLE,92.7134075339631,"LINESTRING (-58.4737359819912 -34.584230439530856, -58.47431464664943 -34.583545305786245)",,,,,
5577,TREVERIS,TREVERIS,Parque Chas,Parque Chas,Parque Chas,15.0,CALLE,138.0718899685195,"LINESTRING (-58.4782604597602 -34.583400869182235, -58.47937358732838 -34.58423841896733)",,,,,
