circuito_geo_id,partido_madre,partido_electoral,metros_lineales,pct_metros,metros_por_km2,area_km2,pct_votos_promedio,pct_votos_jefe_gobierno,pct_votos_legislativa,pct_votos_presidencial,tasa_nbi_circuito,indice_edu_circuito
37,UCR,Centroderecha,500.86601989961963,52.13,1380.2,0.3629,38.73,45.0,41.56,32.77,8.05,5.73
38,UCR,Centroderecha,384.1453746272192,100.0,896.3,0.4286,39.71,46.06,42.2,34.06,13.07,5.86
39,Liberalismo,Liberalismo,262.50076017664423,39.64,659.4,0.3981,20.67,15.84,31.8,11.96,11.43,5.84
39,UCR,Centroderecha,399.7465285459706,60.36,1004.1,0.3981,40.17,46.66,42.76,34.33,11.43,5.84
4,PS,PS,2404.2429114227325,28.16,3091.1,0.7778,8.89,,0.33,17.46,1.99,7.04
4,UCR,Centroderecha,6132.0965471115,71.84,7883.9,0.7778,59.12,72.12,61.7,51.34,1.99,7.04
45,Liberalismo,Liberalismo,282.59000456592526,100.0,271.3,1.0418,20.08,16.47,29.4,12.57,6.47,5.07
46,Liberalismo,Liberalismo,1818.9930972820357,100.0,1627.0,1.118,21.08,17.81,30.62,13.19,6.61,5.33
47,Liberalismo,Liberalismo,2482.2083469068375,100.0,994.2,2.4968,19.59,19.74,24.84,14.26,15.06,3.53
48,Liberalismo,Liberalismo,1059.9549768239417,13.25,511.1,2.0738,19.32,12.98,30.92,10.89,6.3,5.52
48,UCR,Centroderecha,6939.642910618922,86.75,3346.3,2.0738,41.84,48.91,44.42,35.73,6.3,5.52
49,UCR,Centroderecha,3773.3557167208282,100.0,1827.7,2.0645,37.2,42.62,40.13,31.56,6.94,4.93
5,Liberalismo,Liberalismo,3745.132934048729,26.46,1147.4,3.2639,21.08,19.91,26.67,16.08,19.55,3.77
5,UCR,Centroderecha,10411.404500064808,73.54,3189.9,3.2639,23.03,30.62,27.26,15.01,19.55,3.77
50,UCR,Centroderecha,472.5524456152076,100.0,803.4,0.5882,45.8,54.26,46.94,40.41,4.47,6.14
51,PS,PS,142.4576914141658,100.0,191.4,0.7444,8.43,,1.53,15.32,4.94,5.72
52,PS,PS,916.9262673089389,72.0,760.7,1.2053,5.13,,1.56,8.7,21.07,4.3
52,UCR,Centroderecha,356.51359635851975,28.0,295.8,1.2053,33.39,38.52,37.06,27.14,21.07,4.3
53,Liberalismo,Liberalismo,787.6350161411901,42.41,1018.9,0.773,20.27,17.64,28.6,13.26,16.02,4.44
53,UCR,Centroderecha,1069.3878287574416,57.59,1383.4,0.773,34.06,37.8,39.05,27.2,16.02,4.44
54,Liberalismo,Liberalismo,355.7918352739211,71.95,116.7,3.049,19.78,15.54,29.99,11.68,4.79,5.44
54,PJ,PJ,115.3271594247851,23.32,37.8,3.049,38.47,42.84,24.58,50.17,4.79,5.44
54,UCR,Centroderecha,23.36981699163536,4.73,7.7,3.049,38.88,44.76,41.87,32.96,4.79,5.44
55,Liberalismo,Liberalismo,2944.955125162686,98.8,1982.1,1.4858,21.12,18.71,29.88,13.55,8.87,4.39
