Año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccion_id,seccion_nombre,circuito_id,mesa_id,mesa_electores,mesa_tipo,cargo_id,cargo_nombre,votos_tipo,votos_cantidad,agrupacion_id,agrupacion_nombre
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7177,346,NATIVOS,1,PRESIDENTE,POSITIVO,5,87,UNITE POR LA LIBERTAD Y LA DIGNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7172,348,NATIVOS,1,PRESIDENTE,POSITIVO,2,131,FRENTE NOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7172,348,NATIVOS,1,PRESIDENTE,POSITIVO,5,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7173,348,NATIVOS,1,PRESIDENTE,POSITIVO,11,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7174,347,NATIVOS,1,PRESIDENTE,POSITIVO,1,131,FRENTE NOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7174,347,NATIVOS,1,PRESIDENTE,POSITIVO,6,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7175,346,NATIVOS,1,PRESIDENTE,POSITIVO,3,131,FRENTE NOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7175,346,NATIVOS,1,PRESIDENTE,POSITIVO,16,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7176,347,NATIVOS,1,PRESIDENTE,POSITIVO,5,131,FRENTE NOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7176,347,NATIVOS,1,PRESIDENTE,POSITIVO,18,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7177,346,NATIVOS,1,PRESIDENTE,POSITIVO,0,131,FRENTE NOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7177,346,NATIVOS,1,PRESIDENTE,POSITIVO,9,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7178,347,NATIVOS,1,PRESIDENTE,POSITIVO,1,131,FRENTE NOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7178,347,NATIVOS,1,PRESIDENTE,POSITIVO,13,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7166,347,NATIVOS,1,PRESIDENTE,POSITIVO,111,135,JUNTOS POR EL CAMBIO
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7167,348,NATIVOS,1,PRESIDENTE,POSITIVO,126,135,JUNTOS POR EL CAMBIO
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7168,347,NATIVOS,1,PRESIDENTE,POSITIVO,101,135,JUNTOS POR EL CAMBIO
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000161,7149,344,NATIVOS,1,PRESIDENTE,POSITIVO,99,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000161,7150,346,NATIVOS,1,PRESIDENTE,POSITIVO,85,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7151,347,NATIVOS,1,PRESIDENTE,POSITIVO,139,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7152,347,NATIVOS,1,PRESIDENTE,POSITIVO,122,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7153,347,NATIVOS,1,PRESIDENTE,POSITIVO,122,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7154,347,NATIVOS,1,PRESIDENTE,POSITIVO,125,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7155,346,NATIVOS,1,PRESIDENTE,POSITIVO,127,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7156,347,NATIVOS,1,PRESIDENTE,POSITIVO,104,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7157,347,NATIVOS,1,PRESIDENTE,POSITIVO,111,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7158,351,NATIVOS,1,PRESIDENTE,POSITIVO,118,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7159,347,NATIVOS,1,PRESIDENTE,POSITIVO,117,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7160,348,NATIVOS,1,PRESIDENTE,POSITIVO,135,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7161,346,NATIVOS,1,PRESIDENTE,POSITIVO,105,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7164,347,NATIVOS,1,PRESIDENTE,POSITIVO,132,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7165,350,NATIVOS,1,PRESIDENTE,POSITIVO,121,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7166,347,NATIVOS,1,PRESIDENTE,POSITIVO,129,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7167,348,NATIVOS,1,PRESIDENTE,POSITIVO,118,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7168,347,NATIVOS,1,PRESIDENTE,POSITIVO,124,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7169,347,NATIVOS,1,PRESIDENTE,POSITIVO,133,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7170,346,NATIVOS,1,PRESIDENTE,POSITIVO,136,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7171,346,NATIVOS,1,PRESIDENTE,POSITIVO,127,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7172,348,NATIVOS,1,PRESIDENTE,POSITIVO,107,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7173,348,NATIVOS,1,PRESIDENTE,POSITIVO,117,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7174,347,NATIVOS,1,PRESIDENTE,POSITIVO,115,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7175,346,NATIVOS,1,PRESIDENTE,POSITIVO,120,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7176,347,NATIVOS,1,PRESIDENTE,POSITIVO,126,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000162,7177,346,NATIVOS,1,PRESIDENTE,POSITIVO,122,136,FRENTE DE TODOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000166,7342,350,NATIVOS,1,PRESIDENTE,POSITIVO,1,131,FRENTE NOS
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000166,7342,350,NATIVOS,1,PRESIDENTE,POSITIVO,6,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000166,7335,352,NATIVOS,1,PRESIDENTE,POSITIVO,17,137,CONSENSO FEDERAL
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000166,7336,349,NATIVOS,1,PRESIDENTE,POSITIVO,20,137,CONSENSO FEDERAL
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000166,7337,349,NATIVOS,1,PRESIDENTE,POSITIVO,25,137,CONSENSO FEDERAL
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000166,7338,349,NATIVOS,1,PRESIDENTE,POSITIVO,23,137,CONSENSO FEDERAL
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000166,7339,349,NATIVOS,1,PRESIDENTE,POSITIVO,13,137,CONSENSO FEDERAL
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000166,7340,349,NATIVOS,1,PRESIDENTE,POSITIVO,25,137,CONSENSO FEDERAL
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000166,7341,349,NATIVOS,1,PRESIDENTE,POSITIVO,24,137,CONSENSO FEDERAL
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000166,7340,349,NATIVOS,1,PRESIDENTE,POSITIVO,6,133,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD
2019,GENERAL,PROVISORIO,NORMAL,1,CIUDAD AUTÓNOMA DE BUENOS AIRES,0,15,Comuna 15,000166,7341,349,NATIVOS,1,PRESIDENTE,POSITIVO,0,131,FRENTE NOS
